   datafolder                          mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
57 1to5butterEye8ch1300ms80pca_5fusion gbm       50     5e-02     3                 0.7080682 0.7036188 0.08992053
58 1to5butterEye8ch1300ms80pca_5fusion gbm       50     2e-01     1                 0.7041629 0.7021724 0.08871136
59 1to5butterEye8ch1300ms80pca_5fusion gbm       50     2e-01     2                 0.7164404 0.6944599 0.08541291
60 1to5butterEye8ch1300ms80pca_5fusion gbm       50     2e-01     3                 0.7275916 0.6853403 0.08222822
61 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-08     1                 0.6859864 0.6954797 0.08856474
62 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-08     2                 0.6940792 0.7019161 0.08899137
63 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-08     3                 0.6959329 0.7040773 0.08928661
64 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-03     1                 0.6871550 0.6958124 0.08877382
65 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-03     2                 0.6945076 0.7033428 0.08898907
66 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-03     3                 0.6967414 0.7054288 0.09037670
67 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-02     1                 0.6927912 0.7035007 0.09023587
68 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-02     2                 0.6976719 0.7058655 0.08924889
69 1to5butterEye8ch1300ms80pca_5fusion gbm      100     1e-02     3                 0.7012507 0.7057907 0.09049862
70 1to5butterEye8ch1300ms80pca_5fusion gbm      100     5e-02     1                 0.7011201 0.7068476 0.09037584
71 1to5butterEye8ch1300ms80pca_5fusion gbm      100     5e-02     2                 0.7092428 0.7032818 0.08979194
72 1to5butterEye8ch1300ms80pca_5fusion gbm      100     5e-02     3                 0.7174649 0.7011421 0.08533410
73 1to5butterEye8ch1300ms80pca_5fusion gbm      100     2e-01     1                 0.7080871 0.7006089 0.08623297
74 1to5butterEye8ch1300ms80pca_5fusion gbm      100     2e-01     2                 0.7296025 0.6830575 0.08025529
75 1to5butterEye8ch1300ms80pca_5fusion gbm      100     2e-01     3                 0.7505976 0.6795129 0.08784485
76 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-08     1                 0.6863341 0.6967097 0.08852421
77 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-08     2                 0.6942017 0.7024670 0.08781102
78 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-08     3                 0.6967336 0.7064366 0.09010477
79 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-03     1                 0.6886431 0.7005367 0.09051238
80 1to5butterEye8ch1300ms80pca_5fusion gbm      200     1e-03     2                 0.6952227 0.7029717 0.09031577
