   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
48  fft_cz1300ms rrf       500  10   20       0.75    0.9981896 0.5318455
49  fft_cz1300ms rrf       500  30    1       0.25    1.0000000 0.5171771
50  fft_cz1300ms rrf       500  30    1       0.50    1.0000000 0.5055053
51  fft_cz1300ms rrf       500  30    1       0.75    1.0000000 0.5338963
52  fft_cz1300ms rrf       500  30    5       0.25    0.9728764 0.5134845
53  fft_cz1300ms rrf       500  30    5       0.50    0.9721992 0.5128990
54  fft_cz1300ms rrf       500  30    5       0.75    1.0000000 0.5078727
55  fft_cz1300ms rrf       500  30   10       0.25    0.9254916 0.5064685
56  fft_cz1300ms rrf       500  30   10       0.50    0.9245688 0.5093706
57  fft_cz1300ms rrf       500  30   10       0.75    1.0000000 0.5246619
58  fft_cz1300ms rrf       500  30   20       0.25    0.8636857 0.4996892
59  fft_cz1300ms rrf       500  30   20       0.50    0.8714607 0.5131411
60  fft_cz1300ms rrf       500  30   20       0.75    0.9987817 0.5130223
61  fft_cz1300ms rrf       500  70    1       0.25    1.0000000 0.5066020
62  fft_cz1300ms rrf       500  70    1       0.50    1.0000000 0.5140829
63  fft_cz1300ms rrf       500  70    1       0.75    1.0000000 0.5356077
64  fft_cz1300ms rrf       500  70    5       0.25    0.9733861 0.5098432
65  fft_cz1300ms rrf       500  70    5       0.50    0.9721613 0.5184145
66  fft_cz1300ms rrf       500  70    5       0.75    1.0000000 0.5202006
67  fft_cz1300ms rrf       500  70   10       0.25    0.9239566 0.5188836
68  fft_cz1300ms rrf       500  70   10       0.50    0.9268719 0.5118054
69  fft_cz1300ms rrf       500  70   10       0.75    1.0000000 0.5223175
70  fft_cz1300ms rrf       500  70   20       0.25    0.8645364 0.5099477
71  fft_cz1300ms rrf       500  70   20       0.50    0.8616505 0.5200899
72  fft_cz1300ms rrf       500  70   20       0.75    0.9995233 0.5222723
73  fft_cz1300ms rrf      1000  10    1       0.25    1.0000000 0.5131597
74  fft_cz1300ms rrf      1000  10    1       0.50    1.0000000 0.5131196
75  fft_cz1300ms rrf      1000  10    1       0.75    1.0000000 0.5259356
76  fft_cz1300ms rrf      1000  10    5       0.25    0.9728350 0.4998393
77  fft_cz1300ms rrf      1000  10    5       0.50    0.9722578 0.5046491
78  fft_cz1300ms rrf      1000  10    5       0.75    1.0000000 0.5224714
79  fft_cz1300ms rrf      1000  10   10       0.25    0.9238601 0.5168086
80  fft_cz1300ms rrf      1000  10   10       0.50    0.9254210 0.5102827
81  fft_cz1300ms rrf      1000  10   10       0.75    1.0000000 0.5114989
82  fft_cz1300ms rrf      1000  10   20       0.25    0.8656967 0.5062345
83  fft_cz1300ms rrf      1000  10   20       0.50    0.8630117 0.5085186
84  fft_cz1300ms rrf      1000  10   20       0.75    0.9984708 0.5156634
85  fft_cz1300ms rrf      1000  30    1       0.25    1.0000000 0.5163186
86  fft_cz1300ms rrf      1000  30    1       0.50    1.0000000 0.5093341
87  fft_cz1300ms rrf      1000  30    1       0.75    1.0000000 0.5143064
88  fft_cz1300ms rrf      1000  30    5       0.25    0.9734231 0.5178965
89  fft_cz1300ms rrf      1000  30    5       0.50    0.9740612 0.5103556
90  fft_cz1300ms rrf      1000  30    5       0.75    1.0000000 0.5240343
91  fft_cz1300ms rrf      1000  30   10       0.25    0.9251424 0.5164363
92  fft_cz1300ms rrf      1000  30   10       0.50    0.9261862 0.5033607
93  fft_cz1300ms rrf      1000  30   10       0.75    1.0000000 0.5350066
94  fft_cz1300ms rrf      1000  30   20       0.25    0.8623734 0.5124909
95  fft_cz1300ms rrf      1000  30   20       0.50    0.8646491 0.5128937
96  fft_cz1300ms rrf      1000  30   20       0.75    0.9994734 0.5040719
97  fft_cz1300ms rrf      1000  70    1       0.25    1.0000000 0.5280915
