   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
54 fft_cz1300ms rf        30   30    5       0.9999996 0.5078150 0.028685809
55 fft_cz1300ms rf        30   30   10       0.9999779 0.5088042 0.023722246
56 fft_cz1300ms rf        30   30   20       0.9986449 0.5113395 0.030185415
57 fft_cz1300ms rf        30   70    1       0.9999998 0.5246377 0.023396712
58 fft_cz1300ms rf        30   70    5       0.9999989 0.5300911 0.029383407
59 fft_cz1300ms rf        30   70   10       0.9999842 0.5056984 0.028269955
60 fft_cz1300ms rf        30   70   20       0.9993203 0.5169212 0.023149739
61 fft_cz1300ms rf        50   10    1       1.0000000 0.5150930 0.016706015
62 fft_cz1300ms rf        50   10    5       1.0000000 0.5080046 0.014138462
63 fft_cz1300ms rf        50   10   10       0.9999998 0.5139271 0.021136816
64 fft_cz1300ms rf        50   10   20       0.9992730 0.5019023 0.024517818
65 fft_cz1300ms rf        50   30    1       1.0000000 0.5041242 0.031413166
66 fft_cz1300ms rf        50   30    5       1.0000000 0.5105459 0.026733968
67 fft_cz1300ms rf        50   30   10       0.9999992 0.5083989 0.021660129
68 fft_cz1300ms rf        50   30   20       0.9996921 0.5163815 0.023331114
69 fft_cz1300ms rf        50   70    1       1.0000000 0.5011495 0.006207068
70 fft_cz1300ms rf        50   70    5       1.0000000 0.5204424 0.028266168
71 fft_cz1300ms rf        50   70   10       0.9999990 0.5073699 0.023715686
72 fft_cz1300ms rf        50   70   20       0.9997757 0.5115108 0.039380342
73 fft_cz1300ms rf       100   10    1       1.0000000 0.5100444 0.031463067
74 fft_cz1300ms rf       100   10    5       1.0000000 0.5353920 0.012190305
75 fft_cz1300ms rf       100   10   10       1.0000000 0.5325202 0.024467678
76 fft_cz1300ms rf       100   10   20       0.9998345 0.5187165 0.016796762
77 fft_cz1300ms rf       100   30    1       1.0000000 0.5250549 0.020107184
78 fft_cz1300ms rf       100   30    5       1.0000000 0.5097553 0.017584372
79 fft_cz1300ms rf       100   30   10       1.0000000 0.5150750 0.024193665
80 fft_cz1300ms rf       100   30   20       0.9999270 0.5283225 0.019144301
81 fft_cz1300ms rf       100   70    1       1.0000000 0.5302865 0.024542278
82 fft_cz1300ms rf       100   70    5       1.0000000 0.5189230 0.023310106
83 fft_cz1300ms rf       100   70   10       1.0000000 0.5253907 0.018033772
84 fft_cz1300ms rf       100   70   20       0.9999700 0.5223913 0.022539456

   datafolder   mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd         
1  fft_cz1300ms gbm      300     0.01       1                0.6480580 0.5299952 0.030871719 0.50627
2  fft_cz1300ms gbm      300     0.01      10                0.9174178 0.5238546 0.027430382
3  fft_cz1300ms gbm      300     0.01      20                0.9849567 0.5140089 0.022166383
4  fft_cz1300ms gbm      300     0.05       1                0.7169169 0.5158659 0.034915189
5  fft_cz1300ms gbm      300     0.05      10                0.9954658 0.5091610 0.013186817
6  fft_cz1300ms gbm      300     0.05      20                0.9999966 0.5073488 0.016844946
7  fft_cz1300ms gbm      500     0.01       1                0.6660045 0.5265008 0.035016010
8  fft_cz1300ms gbm      500     0.01      10                0.9564787 0.5237926 0.024115538
9  fft_cz1300ms gbm      500     0.01      20                0.9968862 0.5130026 0.027026063
10 fft_cz1300ms gbm      500     0.05       1                0.7453509 0.5226293 0.029010065
11 fft_cz1300ms gbm      500     0.05      10                0.9998997 0.5133142 0.007850944
12 fft_cz1300ms gbm      500     0.05      20                1.0000000 0.5069694 0.003232277
13 fft_cz1300ms gbm      700     0.01       1                0.6830744 0.5272439 0.032809399
14 fft_cz1300ms gbm      700     0.01      10                0.9787398 0.5196020 0.021118906
15 fft_cz1300ms gbm      700     0.01      20                0.9994867 0.5160938 0.016559559
16 fft_cz1300ms gbm      700     0.05       1                0.7691095 0.5273055 0.025816718
17 fft_cz1300ms gbm      700     0.05      10                0.9999990 0.5090413 0.018512522
18 fft_cz1300ms gbm      700     0.05      20                1.0000000 0.5099035 0.005932343

