   datafolder mlmethod n.trees shrinkage interaction.depth inscore   outscore  sd        
16 8ch1300ms  rf        200  100  20       0.9983090 0.5605246 0.06831742
17 8ch1300ms  rf        500   10   1       1.0000000 0.5608800 0.06637582
18 8ch1300ms  rf        500   10   5       0.9999994 0.5601639 0.06669945
19 8ch1300ms  rf        500   10  10       0.9998728 0.5600466 0.06580899
20 8ch1300ms  rf        500   10  20       0.9936146 0.5539202 0.06287284
21 8ch1300ms  rf        500   30   1       1.0000000 0.5610017 0.06964672
22 8ch1300ms  rf        500   30   5       0.9999998 0.5618119 0.06494223
23 8ch1300ms  rf        500   30  10       0.9999075 0.5604996 0.06790664
24 8ch1300ms  rf        500   30  20       0.9970827 0.5605015 0.06835959
25 8ch1300ms  rf        500   70   1       1.0000000 0.5666328 0.06473178
26 8ch1300ms  rf        500   70   5       1.0000000 0.5642108 0.06805370
27 8ch1300ms  rf        500   70  10       0.9999412 0.5637662 0.06349238
28 8ch1300ms  rf        500   70  20       0.9982968 0.5582330 0.06777390
29 8ch1300ms  rf        500  100   1       1.0000000 0.5661927 0.06824030
30 8ch1300ms  rf        500  100   5       0.9999999 0.5663263 0.06682729
31 8ch1300ms  rf        500  100  10       0.9999446 0.5622754 0.06833190
32 8ch1300ms  rf        500  100  20       0.9985620 0.5628444 0.06787608
33 8ch1300ms  rf       1000   10   1       1.0000000 0.5609588 0.06904629
34 8ch1300ms  rf       1000   10   5       0.9999990 0.5606652 0.06743361
35 8ch1300ms  rf       1000   10  10       0.9998821 0.5618484 0.07111051
36 8ch1300ms  rf       1000   10  20       0.9939368 0.5555863 0.07312882
37 8ch1300ms  rf       1000   30   1       1.0000000 0.5642950 0.06926222
38 8ch1300ms  rf       1000   30   5       0.9999999 0.5646162 0.06863694
39 8ch1300ms  rf       1000   30  10       0.9999113 0.5619317 0.06770669
40 8ch1300ms  rf       1000   30  20       0.9971594 0.5613749 0.07201310
41 8ch1300ms  rf       1000   70   1       1.0000000 0.5669387 0.06827121
42 8ch1300ms  rf       1000   70   5       1.0000000 0.5645272 0.06642889
43 8ch1300ms  rf       1000   70  10       0.9999496 0.5649808 0.07083030
44 8ch1300ms  rf       1000   70  20       0.9983617 0.5630812 0.07152415
45 8ch1300ms  rf       1000  100   1       1.0000000 0.5666545 0.06924847
46 8ch1300ms  rf       1000  100   5       1.0000000 0.5612066 0.07572741
47 8ch1300ms  rf       1000  100  10       0.9999380 0.5635723 0.06934754
48 8ch1300ms  rf       1000  100  20       0.9986666 0.5636533 0.06843662

